,DBN,rr_s,rr_t,rr_p,N_s,N_t,N_p,saf_p_11,com_p_11,eng_p_11,aca_p_11,saf_t_11,com_t_11,eng_t_11,aca_t_11,saf_s_11,com_s_11,eng_s_11,aca_s_11,saf_tot_11,com_tot_11,eng_tot_11,aca_tot_11
162,03M250,97.0,100,49,175.0,20.0,86.0,8.8,8.0,7.9,8.3,9.0,8.7,9.2,9.5,7.9,7.1,7.7,8.2,8.6,7.9,8.3,8.7
163,03M256,82.0,100,99,134.0,15.0,158.0,9.2,9.2,8.8,9.4,6.3,6.2,5.7,6.6,6.8,6.8,6.6,7.8,7.4,7.4,7.0,7.9
164,03M258,87.0,87,20,214.0,20.0,48.0,8.9,8.3,7.8,8.4,7.8,7.7,7.9,8.6,7.0,6.3,7.0,7.6,7.9,7.4,7.6,8.2
165,03M283,53.0,57,17,186.0,13.0,61.0,7.0,6.8,7.0,6.9,5.8,4.9,5.2,5.3,6.1,6.0,6.3,7.0,6.3,5.9,6.2,6.4
166,03M299,91.0,96,14,344.0,27.0,51.0,7.6,7.0,6.8,7.0,6.5,5.8,6.1,6.5,6.5,5.8,6.4,7.1,6.9,6.2,6.4,6.9
167,03M307,80.0,96,22,263.0,25.0,71.0,8.7,7.9,7.8,8.4,7.8,7.9,7.9,8.2,6.9,6.2,7.1,7.6,7.8,7.4,7.6,8.1
168,03M333,69.0,40,51,124.0,21.0,298.0,8.8,8.4,8.7,8.4,7.7,6.6,8.0,8.2,6.9,6.6,7.3,7.8,7.8,7.2,8.0,8.1
169,03M334,100.0,89,79,192.0,24.0,387.0,8.8,8.6,8.4,9.0,8.3,7.3,8.1,8.8,7.7,7.0,7.9,8.5,8.3,7.6,8.1,8.8
170,03M402,53.0,30,27,93.0,6.0,48.0,8.2,7.9,7.7,8.0,4.4,4.2,5.2,5.7,6.3,6.4,6.3,7.2,6.3,6.2,6.4,7.0
171,03M403,79.0,100,24,162.0,16.0,47.0,8.5,7.9,7.7,7.6,7.2,7.6,8.3,8.2,7.0,6.7,7.1,7.4,7.6,7.4,7.7,7.7
172,03M404,73.0,100,21,147.0,13.0,41.0,9.1,8.4,8.0,8.7,6.8,5.8,6.4,7.0,7.3,6.4,6.8,7.5,7.7,6.8,7.1,7.7
173,03M415,71.0,68,55,336.0,27.0,262.0,7.6,6.9,7.1,7.1,6.1,5.2,5.9,6.1,6.0,5.5,5.9,6.6,6.5,5.9,6.3,6.6
174,03M417,98.0,100,47,97.0,8.0,47.0,8.4,7.6,7.3,7.6,6.9,7.0,7.0,7.9,7.3,7.3,7.1,7.7,7.5,7.3,7.2,7.8
175,03M421,79.0,70,74,85.0,7.0,76.0,8.0,7.3,7.1,7.3,5.3,5.4,5.7,5.4,5.6,6.4,6.6,7.7,6.3,6.4,6.5,6.8
176,03M452,,100,78,,5.0,42.0,9.2,8.9,9.0,9.0,9.0,7.8,8.4,8.6,,,,,9.1,8.3,8.7,8.8
177,03M470,65.0,47,2,400.0,22.0,15.0,6.8,6.4,6.8,7.2,7.4,7.3,7.4,8.1,6.3,5.5,6.1,6.6,6.8,6.4,6.8,7.3
178,03M479,82.0,80,39,934.0,43.0,440.0,8.6,7.9,7.9,8.3,7.5,6.2,6.7,7.5,7.8,7.2,7.6,8.2,8.0,7.1,7.4,8.0
179,03M485,93.0,50,28,2345.0,68.0,701.0,8.3,7.2,7.7,7.6,7.8,6.3,6.7,7.3,7.1,5.9,6.6,7.6,7.7,6.5,7.0,7.5
180,03M492,80.0,91,67,385.0,39.0,323.0,9.1,7.6,7.6,8.2,6.7,6.1,6.5,7.0,6.2,6.0,6.2,7.4,7.3,6.6,6.8,7.6
181,03M494,87.0,83,25,502.0,29.0,138.0,8.3,7.5,7.6,7.9,5.6,3.8,5.1,5.3,6.4,5.8,6.5,7.1,6.8,5.7,6.4,6.8
182,03M505,59.0,95,15,248.0,42.0,61.0,8.6,7.7,7.7,8.0,7.1,5.5,6.6,7.3,7.4,6.1,6.9,7.5,7.7,6.4,7.1,7.6
183,03M541,96.0,93,39,427.0,26.0,173.0,8.7,7.7,7.7,8.1,8.1,6.8,7.5,8.1,7.3,6.5,6.9,7.6,8.0,7.0,7.3,7.9
184,03M577,48.0,63,0,19.0,10.0,,,,,,8.2,7.3,8.3,8.3,7.5,6.1,7.2,7.6,7.9,6.7,7.8,8.0
185,03M859,98.0,100,87,39.0,9.0,103.0,9.0,8.3,8.3,8.7,7.5,5.2,6.5,7.1,8.6,7.4,8.0,8.3,8.4,7.0,7.6,8.1
186,03M860,88.0,83,47,343.0,24.0,176.0,7.8,7.4,7.2,7.3,5.5,5.0,5.5,6.1,5.8,5.8,5.9,7.0,6.4,6.1,6.2,6.8
187,03M862,97.0,43,85,283.0,9.0,242.0,8.5,7.8,7.8,8.2,8.9,6.7,7.5,8.1,7.5,6.6,7.6,8.2,8.3,7.1,7.6,8.2
188,04M007,98.0,88,46,126.0,29.0,156.0,8.6,7.5,7.4,8.1,6.9,6.2,6.6,7.3,7.1,6.1,7.2,7.8,7.5,6.6,7.1,7.7
189,04M012,100.0,100,69,149.0,24.0,316.0,8.9,8.3,8.1,8.7,7.9,6.9,7.8,8.0,7.9,7.6,8.4,8.7,8.2,7.6,8.1,8.4
190,04M013,63.0,29,18,160.0,8.0,41.0,7.8,7.5,7.8,7.4,5.5,4.9,5.8,5.9,5.8,5.5,6.3,7.1,6.3,6.0,6.6,6.8
191,04M037,,91,94,,21.0,183.0,9.2,8.9,8.7,8.9,9.0,8.7,9.2,9.0,,,,,9.1,8.8,8.9,9.0
192,04M038,,100,65,,30.0,158.0,8.7,7.9,7.8,8.2,6.5,6.1,5.7,6.9,,,,,7.6,7.0,6.7,7.5
193,04M045,92.0,80,61,271.0,24.0,165.0,7.8,7.4,7.2,7.4,5.9,5.1,6.0,6.4,6.4,6.3,6.7,7.8,6.7,6.3,6.6,7.2
194,04M050,86.0,66,42,117.0,27.0,121.0,8.1,7.3,7.2,7.7,6.0,4.8,5.8,6.7,5.8,6.1,6.5,7.4,6.6,6.1,6.5,7.3
195,04M057,98.0,86,57,130.0,51.0,357.0,9.0,8.3,8.2,8.6,8.3,8.0,8.3,9.0,7.6,6.7,7.9,8.5,8.3,7.7,8.1,8.7
196,04M072,,96,79,,47.0,349.0,9.2,8.5,8.3,8.7,8.5,7.9,8.3,8.6,,,,,8.9,8.2,8.3,8.7
197,04M083,,85,75,,28.0,264.0,9.2,8.6,8.5,8.8,8.4,7.7,7.4,8.3,,,,,8.8,8.1,7.9,8.6
198,04M096,94.0,91,42,165.0,41.0,183.0,8.2,7.4,7.3,7.6,5.8,5.0,5.5,6.2,6.5,5.9,7.0,7.5,6.8,6.1,6.6,7.1
199,04M102,,87,80,,33.0,204.0,9.2,8.6,8.4,8.8,7.8,7.8,7.9,8.2,,,,,8.5,8.2,8.2,8.5
200,04M108,96.0,98,87,281.0,57.0,510.0,8.8,8.1,7.9,8.4,8.0,7.1,7.3,8.1,7.6,6.8,7.7,8.5,8.2,7.3,7.6,8.3
201,04M112,,100,100,,52.0,287.0,9.1,8.5,8.6,8.7,7.9,7.9,8.0,8.5,,,,,8.5,8.2,8.3,8.6
202,04M146,,88,54,,51.0,200.0,9.0,8.4,8.3,8.4,6.7,4.9,5.6,6.2,,,,,7.8,6.7,7.0,7.3
203,04M155,,100,68,,37.0,200.0,8.7,8.0,7.8,8.1,6.9,6.5,7.1,7.7,,,,,7.8,7.3,7.5,7.9
204,04M171,98.0,94,82,234.0,46.0,438.0,9.2,8.5,8.5,8.9,7.1,6.5,6.2,7.3,7.8,7.4,8.1,8.7,8.0,7.5,7.6,8.3
205,04M182,,61,72,,17.0,231.0,9.2,8.4,8.1,8.5,8.2,7.1,7.2,8.0,,,,,8.7,7.7,7.6,8.3
206,04M206,,100,96,,39.0,235.0,8.9,8.3,8.3,8.2,7.2,6.6,7.2,7.1,,,,,8.1,7.5,7.8,7.7
207,04M224,88.0,88,42,217.0,14.0,98.0,8.7,8.3,8.1,8.3,6.5,5.9,6.4,7.0,7.1,6.9,7.7,8.1,7.4,7.0,7.4,7.8
208,04M372,97.0,100,94,259.0,27.0,236.0,8.8,8.2,8.0,8.1,8.2,8.6,8.7,9.3,7.8,7.7,8.2,8.4,8.3,8.2,8.3,8.6
209,04M375,,86,76,,25.0,182.0,9.2,8.7,8.7,8.9,7.3,6.4,7.3,7.8,,,,,8.2,7.5,8.0,8.4
210,04M377,88.0,100,46,168.0,19.0,83.0,8.1,7.8,7.9,8.1,6.8,7.3,7.5,8.0,6.1,6.1,6.9,7.5,7.0,7.1,7.5,7.8
211,04M381,97.0,92,48,182.0,24.0,87.0,8.6,8.5,8.3,8.7,6.4,6.0,7.0,7.1,6.5,6.4,7.0,7.7,7.2,7.0,7.4,7.8
212,04M406,93.0,100,71,109.0,10.0,79.0,9.0,8.8,8.8,9.0,8.2,8.6,9.4,9.6,7.6,7.4,8.5,8.8,8.3,8.3,8.9,9.1
213,04M409,87.0,100,47,321.0,32.0,174.0,8.2,7.7,7.7,8.2,8.5,8.7,9.1,9.0,6.6,6.1,6.6,7.2,7.8,7.5,7.8,8.1
214,04M435,92.0,88,22,1546.0,72.0,370.0,7.9,7.0,7.2,7.4,7.2,4.7,5.7,6.6,6.6,5.5,6.5,7.2,7.2,5.7,6.4,7.0
215,04M495,85.0,100,41,303.0,32.0,137.0,8.6,7.7,7.4,7.9,7.6,6.8,7.0,7.5,7.0,6.3,6.9,7.6,7.7,6.9,7.1,7.7
216,04M497,,100,69,,17.0,122.0,9.3,9.0,9.2,9.2,8.7,7.6,8.7,8.6,,,,,9.0,8.3,9.0,8.9
217,04M555,87.0,85,22,342.0,22.0,88.0,8.6,8.0,7.7,8.3,8.0,7.8,8.0,8.4,6.6,5.8,6.0,7.4,7.8,7.2,7.3,8.1
218,04M610,85.0,96,53,380.0,24.0,221.0,8.8,8.1,7.8,8.3,8.9,8.3,8.5,9.0,7.5,6.6,7.2,8.3,8.4,7.7,7.8,8.5
219,04M635,94.0,95,86,235.0,19.0,211.0,7.4,7.3,7.1,7.4,6.4,5.3,5.6,6.1,6.4,5.9,6.3,6.9,6.7,6.2,6.3,6.8
220,04M680,92.0,84,51,262.0,21.0,141.0,7.8,7.0,6.9,7.1,6.0,4.7,5.2,5.7,6.4,5.9,6.4,7.0,6.7,5.9,6.1,6.6
221,04M825,93.0,86,40,332.0,24.0,139.0,8.5,7.9,7.7,8.2,7.2,7.1,7.4,7.9,6.7,6.7,7.2,8.0,7.5,7.2,7.4,8.0
222,04M964,,95,82,,19.0,158.0,9.3,9.0,8.9,8.9,9.4,8.9,9.4,9.5,,,,,9.3,9.0,9.2,9.2
223,05M030,,61,54,,27.0,121.0,8.3,7.5,7.4,7.9,6.9,6.5,6.8,7.6,,,,,7.6,7.0,7.1,7.7
224,05M036,,70,70,,37.0,369.0,8.8,8.2,8.2,8.4,6.9,6.1,6.3,6.5,,,,,7.9,7.2,7.2,7.5
225,05M046,96.0,93,93,135.0,52.0,533.0,8.7,8.1,7.9,8.5,7.6,8.0,7.6,8.1,7.2,6.6,7.6,8.0,7.8,7.6,7.7,8.2
226,05M092,,81,100,,25.0,254.0,8.9,8.4,8.5,8.5,7.7,7.6,7.8,8.2,,,,,8.3,8.0,8.1,8.3
227,05M123,76.0,88,56,136.0,45.0,271.0,8.5,7.9,7.7,8.1,7.6,7.7,8.0,8.1,5.6,4.9,6.1,7.2,7.3,6.8,7.3,7.8
228,05M125,,96,67,,24.0,126.0,8.5,7.9,7.9,8.0,7.2,6.3,7.0,7.4,,,,,7.8,7.1,7.4,7.7
229,05M129,82.0,54,38,160.0,26.0,184.0,8.2,7.2,7.1,7.8,7.0,7.0,7.5,7.8,6.6,6.6,7.8,8.2,7.3,6.9,7.4,7.9
230,05M133,,61,63,,17.0,152.0,8.3,7.8,7.7,7.9,5.5,3.9,4.2,5.3,,,,,6.9,5.8,5.9,6.6
231,05M154,,92,56,,33.0,172.0,8.8,8.2,8.1,8.4,7.6,7.4,7.3,7.8,,,,,8.2,7.8,7.7,8.1
232,05M161,97.0,87,48,260.0,66.0,334.0,8.8,8.1,8.1,8.3,7.3,7.2,7.8,8.3,7.0,6.5,7.7,8.3,7.7,7.3,7.8,8.3
233,05M175,,93,73,,28.0,224.0,8.6,7.8,7.8,7.8,7.1,6.6,7.0,7.4,,,,,7.8,7.2,7.4,7.6
234,05M194,,64,22,,21.0,51.0,8.1,7.9,7.7,7.7,5.8,4.6,5.6,5.7,,,,,7.0,6.3,6.7,6.7
235,05M195,73.0,53,29,282.0,25.0,105.0,8.0,7.8,7.6,8.1,4.8,4.7,5.7,6.0,6.3,5.8,6.8,7.4,6.4,6.1,6.7,7.2
236,05M197,,93,40,,28.0,123.0,8.3,7.8,7.7,8.1,8.2,8.3,8.2,8.3,,,,,8.3,8.0,8.0,8.2
237,05M200,,88,77,,43.0,301.0,8.1,7.5,7.3,7.9,6.8,6.3,6.8,7.2,,,,,7.5,6.9,7.1,7.5
238,05M285,68.0,94,22,117.0,16.0,37.0,8.8,8.1,8.0,8.2,7.4,6.9,7.6,7.6,7.0,6.2,6.9,7.5,7.7,7.1,7.5,7.8
239,05M286,88.0,94,49,220.0,15.0,115.0,8.7,8.1,8.1,8.2,7.1,6.9,7.4,8.0,8.4,8.0,8.7,8.8,8.1,7.7,8.1,8.3
240,05M302,97.0,61,68,202.0,11.0,135.0,8.9,8.4,8.3,8.5,7.1,7.1,7.7,8.4,6.2,6.4,6.6,7.6,7.4,7.3,7.5,8.2
241,05M304,99.0,88,66,377.0,22.0,240.0,8.3,7.3,7.2,7.3,7.2,6.3,5.9,7.1,6.2,6.0,6.2,7.2,7.2,6.5,6.4,7.2
242,05M317,75.0,43,83,38.0,3.0,44.0,8.3,7.5,7.6,7.1,6.2,6.1,5.7,5.3,6.2,6.0,6.4,7.2,6.9,6.5,6.6,6.5
243,05M318,,93,75,,14.0,138.0,9.1,8.6,8.6,9.0,7.5,7.7,7.9,8.2,,,,,8.3,8.2,8.2,8.6
244,05M344,88.0,64,60,93.0,7.0,61.0,7.3,7.4,7.4,7.3,6.0,6.8,7.2,7.5,6.1,6.1,6.7,7.5,6.5,6.8,7.1,7.4
245,05M362,91.0,90,44,343.0,18.0,159.0,7.8,7.7,7.5,8.1,7.3,6.9,7.1,8.3,6.9,6.8,7.0,7.4,7.3,7.1,7.2,7.9
246,05M367,71.0,71,31,285.0,25.0,118.0,8.1,7.4,7.3,7.7,6.2,5.9,6.5,7.2,5.7,5.6,6.1,6.9,6.7,6.3,6.6,7.3
247,05M369,87.0,92,45,281.0,23.0,143.0,7.3,6.6,6.8,7.1,5.4,4.0,4.7,4.8,5.2,5.2,5.5,6.4,6.0,5.3,5.7,6.1
248,05M410,90.0,100,0,101.0,10.0,,,,,,7.6,6.8,7.3,8.0,6.8,6.7,7.0,7.8,7.2,6.7,7.2,7.9
249,05M469,95.0,63,34,313.0,20.0,107.0,8.4,8.1,7.9,7.9,7.3,7.0,7.7,7.9,6.0,5.8,6.4,7.0,7.2,7.0,7.3,7.6
250,05M499,71.0,58,20,1049.0,50.0,285.0,7.8,7.3,7.4,7.5,6.4,5.7,6.0,6.7,5.7,5.3,6.3,7.3,6.6,6.1,6.6,7.2
251,05M670,72.0,73,35,405.0,27.0,184.0,8.5,7.6,7.7,7.8,6.9,5.8,6.2,6.8,6.7,6.4,6.7,7.6,7.4,6.6,6.9,7.4
252,05M685,74.0,80,46,346.0,24.0,221.0,8.2,7.1,7.1,7.1,5.8,5.9,5.9,6.6,5.5,5.2,5.5,6.6,6.5,6.1,6.2,6.8
253,05M692,89.0,83,42,357.0,29.0,165.0,8.8,7.5,7.6,8.3,8.6,6.6,7.3,7.8,7.8,6.7,7.2,8.2,8.4,7.0,7.3,8.1
254,06M004,,42,22,,22.0,118.0,8.9,7.9,7.8,8.1,8.2,6.8,7.0,7.7,,,,,8.6,7.4,7.4,7.9
255,06M005,,95,45,,53.0,292.0,8.9,8.1,7.8,8.3,7.2,5.8,6.3,6.9,,,,,8.1,7.0,7.1,7.6
256,06M008,,98,90,,44.0,431.0,9.3,8.6,8.5,8.7,8.0,7.5,7.9,8.6,,,,,8.7,8.0,8.2,8.6
257,06M018,81.0,88,83,127.0,28.0,249.0,9.0,8.3,8.3,8.5,7.8,7.6,7.6,8.2,7.5,6.7,7.6,7.9,8.1,7.5,7.9,8.2
258,06M028,,83,48,,64.0,341.0,9.0,8.3,8.0,8.4,8.7,8.0,8.3,8.8,,,,,8.8,8.1,8.1,8.6
259,06M048,,72,69,,38.0,329.0,9.1,8.2,8.3,8.6,7.8,6.5,7.2,7.8,,,,,8.4,7.4,7.7,8.2
260,06M052,98.0,98,60,704.0,64.0,414.0,8.9,8.3,8.3,8.4,7.7,7.4,8.0,8.4,7.0,6.1,7.0,7.6,7.9,7.3,7.8,8.1
261,06M098,,68,63,,38.0,360.0,8.9,8.1,7.9,8.3,6.9,5.4,6.0,6.5,,,,,7.9,6.7,6.9,7.4
262,06M115,,57,40,,26.0,217.0,8.8,8.0,7.8,8.3,6.3,4.4,5.5,6.2,,,,,7.6,6.2,6.7,7.2
263,06M128,,47,70,,27.0,400.0,9.0,8.4,8.1,8.4,7.8,6.6,7.3,7.6,,,,,8.4,7.5,7.7,8.0
264,06M132,,88,78,,53.0,493.0,9.0,8.4,8.2,8.5,6.7,6.2,6.4,6.8,,,,,7.8,7.3,7.3,7.7
265,06M143,97.0,93,94,649.0,51.0,578.0,8.3,7.6,7.4,7.7,7.2,7.5,7.7,8.0,6.7,6.2,7.1,7.8,7.4,7.1,7.4,7.8
266,06M152,,71,46,,40.0,305.0,8.4,7.7,7.4,7.8,6.0,4.5,5.1,5.5,,,,,7.2,6.1,6.2,6.6
267,06M153,,89,88,,63.0,722.0,8.8,8.2,8.1,8.5,7.8,7.4,7.7,8.1,,,,,8.3,7.8,7.9,8.3
268,06M173,,69,55,,33.0,294.0,8.8,7.8,7.8,8.1,7.1,5.0,5.5,6.3,,,,,8.0,6.4,6.6,7.2
269,06M178,,100,100,,33.0,223.0,9.5,8.9,8.8,8.9,9.1,7.8,8.1,8.3,,,,,9.3,8.3,8.5,8.6
270,06M187,98.0,100,64,254.0,53.0,416.0,8.6,7.5,7.5,7.9,7.6,6.3,6.9,7.5,7.1,6.6,7.2,7.8,7.8,6.8,7.2,7.7
271,06M189,,99,66,,77.0,556.0,9.0,8.5,8.3,8.6,7.1,6.6,6.9,7.7,,,,,8.1,7.5,7.6,8.2
272,06M192,,90,59,,28.0,183.0,9.0,8.5,8.3,8.6,7.9,8.5,8.0,8.6,,,,,8.5,8.5,8.1,8.6
273,06M210,99.0,89,69,142.0,33.0,239.0,9.1,8.5,8.4,8.7,7.4,6.6,7.3,7.8,7.6,6.4,7.7,8.1,8.0,7.2,7.8,8.2
274,06M218,88.0,44,67,311.0,16.0,231.0,8.9,8.3,7.9,8.0,6.5,4.5,4.7,6.0,7.0,6.4,7.0,7.6,7.5,6.4,6.6,7.2
275,06M223,99.0,100,93,373.0,24.0,339.0,8.4,7.4,7.6,8.3,8.0,5.4,6.3,7.7,7.1,5.9,6.9,8.1,7.8,6.3,7.0,8.0
276,06M278,100.0,83,95,192.0,30.0,400.0,8.9,7.8,8.1,8.0,7.8,5.9,6.8,7.2,7.5,6.4,7.8,8.5,8.1,6.7,7.6,7.9
277,06M293,87.0,77,64,441.0,30.0,299.0,9.0,8.4,8.4,8.7,8.5,7.2,7.8,8.5,7.8,6.9,7.7,8.3,8.4,7.5,8.0,8.5
278,06M311,100.0,73,74,128.0,24.0,259.0,9.2,8.4,8.5,8.7,8.8,7.6,8.2,8.9,7.2,6.1,7.1,7.6,8.4,7.4,7.9,8.4
279,06M314,,71,54,,15.0,121.0,8.9,8.1,8.1,8.4,8.2,7.0,7.3,7.6,,,,,8.5,7.6,7.7,8.0
280,06M319,96.0,94,97,536.0,46.0,513.0,9.2,8.7,8.5,8.8,7.1,6.7,6.9,7.7,7.8,7.5,7.9,8.4,8.1,7.6,7.8,8.3
281,06M321,99.0,80,95,89.0,8.0,83.0,10.0,10.0,10.0,10.0,8.6,7.7,8.4,8.8,9.3,8.0,9.2,9.4,9.3,8.6,9.2,9.4
282,06M322,86.0,65,91,410.0,30.0,404.0,9.0,8.4,8.3,8.7,6.7,5.5,6.5,7.3,6.7,6.3,6.8,7.6,7.5,6.7,7.2,7.9
283,06M324,99.0,100,92,409.0,36.0,354.0,9.4,8.8,8.6,9.0,8.0,7.5,7.9,8.6,7.7,6.7,7.7,8.0,8.4,7.7,8.1,8.5
284,06M325,,60,67,,21.0,220.0,8.8,8.1,7.9,8.2,8.0,7.3,7.5,8.1,,,,,8.4,7.7,7.7,8.1
285,06M326,95.0,63,96,343.0,22.0,330.0,9.4,9.5,9.3,9.4,5.7,5.7,5.9,7.1,7.3,7.2,7.9,8.4,7.5,7.5,7.7,8.3
286,06M328,92.0,95,85,409.0,36.0,346.0,9.0,8.5,8.3,8.5,7.5,7.5,8.0,8.2,8.7,8.0,8.9,9.0,8.4,8.0,8.4,8.5
287,06M346,94.0,95,71,426.0,37.0,305.0,8.4,7.5,7.3,7.7,6.8,5.0,6.0,6.4,6.4,6.0,6.5,7.3,7.2,6.2,6.6,7.1
288,06M348,94.0,68,70,487.0,26.0,316.0,8.8,8.2,7.6,8.5,8.5,7.7,7.8,8.5,7.5,6.9,7.1,8.2,8.3,7.6,7.5,8.4
289,06M349,99.0,75,99,157.0,9.0,150.0,9.5,9.1,8.8,9.0,8.5,6.2,7.6,7.6,8.1,7.2,8.3,8.6,8.7,7.5,8.2,8.4
290,06M366,,79,31,,11.0,81.0,8.6,7.1,7.0,7.3,7.1,3.2,4.1,5.0,,,,,7.8,5.1,5.6,6.1
291,06M368,,79,59,,15.0,123.0,9.0,8.6,8.3,8.6,8.6,7.6,8.4,8.8,,,,,8.8,8.1,8.4,8.7
292,06M423,90.0,100,73,114.0,13.0,90.0,9.2,8.6,8.2,8.4,8.2,7.7,8.3,8.7,7.6,6.2,6.5,7.6,8.3,7.5,7.7,8.3
293,06M457,63.0,54,39,132.0,15.0,79.0,9.7,9.5,9.4,9.5,9.0,8.7,8.8,8.9,8.5,7.0,8.0,8.5,9.1,8.4,8.7,9.0
294,06M462,81.0,61,67,482.0,22.0,385.0,8.2,7.7,7.6,7.8,7.2,6.6,6.1,6.8,7.1,6.3,6.8,7.2,7.5,6.9,6.8,7.3
295,06M463,84.0,95,44,446.0,35.0,226.0,8.0,7.7,7.5,7.7,7.4,6.8,7.5,7.8,6.4,5.7,6.2,7.2,7.3,6.8,7.1,7.6
296,06M467,74.0,67,43,451.0,28.0,255.0,8.5,8.2,8.0,8.3,6.9,6.5,6.9,7.6,6.5,6.0,6.6,7.4,7.3,6.9,7.1,7.8
297,06M468,92.0,100,47,625.0,44.0,310.0,8.3,8.0,7.7,7.9,7.0,7.1,7.5,7.9,6.4,5.8,6.5,7.2,7.2,6.9,7.2,7.7
298,06M528,95.0,85,46,252.0,17.0,119.0,9.0,8.0,8.0,8.0,7.5,8.0,8.3,8.1,6.9,6.3,7.2,7.6,7.8,7.4,7.8,7.9
299,06M540,66.0,100,15,945.0,74.0,208.0,7.7,7.2,7.1,7.2,5.9,5.0,5.3,6.0,6.1,5.5,6.1,7.0,6.6,5.9,6.2,6.8
300,06M552,88.0,72,52,406.0,21.0,221.0,9.2,8.4,8.1,8.3,8.5,6.5,7.4,8.4,7.7,6.2,7.0,7.7,8.5,7.0,7.5,8.1
301,07X001,,58,70,,31.0,378.0,8.7,8.0,7.9,8.1,6.4,5.2,5.9,6.7,,,,,7.5,6.6,6.9,7.4
302,07X005,,96,71,,46.0,310.0,8.6,7.9,7.9,8.1,8.9,8.8,9.2,9.4,,,,,8.7,8.4,8.6,8.7
303,07X018,,72,100,,33.0,405.0,8.7,7.7,7.8,8.3,6.3,5.3,5.8,6.6,,,,,7.5,6.5,6.8,7.5
304,07X025,,66,63,,23.0,181.0,9.1,8.6,8.4,8.7,8.1,7.2,7.5,8.1,,,,,8.6,7.9,7.9,8.4
305,07X029,96.0,81,64,240.0,48.0,366.0,8.4,7.8,7.7,8.1,6.6,6.6,6.7,7.2,6.3,6.2,6.9,7.4,7.1,6.8,7.1,7.6
306,07X030,,93,85,,38.0,322.0,8.9,8.4,8.3,8.6,7.7,7.8,7.8,8.1,,,,,8.3,8.1,8.0,8.4
307,07X031,96.0,81,40,220.0,48.0,204.0,8.3,7.5,7.6,7.8,6.9,7.1,7.0,7.6,6.3,6.2,6.9,7.5,7.2,6.9,7.2,7.7
308,07X043,,92,64,,35.0,234.0,9.0,8.2,8.1,8.4,8.1,7.5,8.2,8.6,,,,,8.5,7.8,8.2,8.5
309,07X049,,56,67,,35.0,326.0,9.0,8.4,8.2,8.3,7.6,6.7,6.8,7.4,,,,,8.3,7.5,7.5,7.9
310,07X065,,92,83,,33.0,230.0,8.2,7.8,7.7,7.9,6.7,7.7,7.4,7.7,,,,,7.5,7.8,7.6,7.8
311,07X151,74.0,67,48,206.0,18.0,123.0,8.4,8.3,8.0,8.4,8.1,7.4,8.2,8.5,6.7,6.2,7.1,7.8,7.7,7.3,7.8,8.2
312,07X154,,86,59,,42.0,242.0,8.6,8.1,8.1,8.3,6.2,5.0,5.7,6.0,,,,,7.4,6.5,6.9,7.1
313,07X157,,64,48,,37.0,227.0,9.0,8.5,8.3,8.9,6.6,5.8,5.9,6.7,,,,,7.8,7.2,7.1,7.8
314,07X161,,79,37,,49.0,183.0,8.5,8.0,7.9,8.2,6.8,6.4,7.0,7.3,,,,,7.6,7.2,7.4,7.7
315,07X162,82.0,97,17,587.0,63.0,112.0,8.0,7.5,7.2,7.7,5.8,5.2,5.8,6.5,5.9,6.2,6.5,7.3,6.6,6.3,6.5,7.2
316,07X179,,74,59,,28.0,184.0,9.0,8.3,8.1,8.4,7.7,6.8,7.1,7.4,,,,,8.3,7.5,7.6,7.9
317,07X203,78.0,67,73,221.0,18.0,196.0,8.1,7.8,7.5,7.8,5.9,5.7,6.5,6.8,6.1,5.7,6.7,7.3,6.7,6.4,6.9,7.3
318,07X221,82.0,60,53,472.0,28.0,278.0,8.2,7.3,7.1,7.9,6.6,6.2,6.9,7.5,7.1,6.7,6.8,7.8,7.3,6.7,6.9,7.7
319,07X223,93.0,74,56,447.0,26.0,258.0,8.8,8.2,8.0,8.8,7.8,7.2,7.5,8.3,7.3,6.7,7.6,8.2,8.0,7.4,7.7,8.4
320,07X224,84.0,92,54,318.0,23.0,190.0,8.6,8.0,7.8,8.2,4.0,2.8,3.5,4.1,4.9,5.4,5.4,6.7,5.8,5.4,5.5,6.4
321,07X277,,66,34,,35.0,140.0,8.9,8.4,8.3,8.8,7.6,7.7,8.2,8.5,,,,,8.3,8.1,8.2,8.6
322,07X296,97.0,100,88,262.0,27.0,219.0,8.5,8.2,8.0,8.5,8.0,8.3,8.3,8.6,6.2,6.3,7.1,7.9,7.6,7.6,7.8,8.3
323,07X298,99.0,62,89,238.0,13.0,207.0,8.8,7.8,7.8,8.1,6.6,5.8,5.5,6.2,7.1,6.4,7.2,7.9,7.5,6.7,6.8,7.4
324,07X321,81.0,82,63,91.0,9.0,75.0,9.3,8.9,8.5,9.0,8.7,8.5,9.2,9.5,8.4,7.9,8.2,8.6,8.8,8.4,8.6,9.0
325,07X334,87.0,85,32,308.0,22.0,102.0,8.6,8.2,7.8,8.1,7.8,5.6,7.4,7.5,7.3,6.5,7.0,7.5,7.9,6.8,7.4,7.7
326,07X343,94.0,95,46,222.0,19.0,103.0,8.8,8.4,8.2,8.5,8.7,8.2,8.7,9.1,7.7,7.1,7.7,8.1,8.4,7.9,8.2,8.6
